Month,KPI,Type,Unit,S40201,S40202,S40203,S40204,S40205,S40206,S40207,S40301,S40302,S40303,S40304,S40401,S40402,S40403,S40411,S40412,S40413,S40414,S40501,S40502,S40503,S40504,center,east,north,south,nc
FEB,D,Gross Sales Actual FTP,EUR,352584,247103,425250,478606,523762,363760,411279,487053,679471,346846,268004,376639,1515589,273536,1306542,1120778,621757,598646,542675,814587,622820,694646,2165765,3647725,1781376,2674730,2802347
FEB,E,Net Sales FTP,EUR,212101,144516,252033,284542,302984,216981,246581,261434,370356,201521,162235,213617,815814,152529,701581,656435,340378,331393,323474,464719,344729,417384,1181961,2029788,995547,1550308,1659742
FEB,F,Net Sales FTP PY,EUR,223532,168093,262858,255692,307472,224167,233508,360290,351764,276790,208366,421953,829268,213599,443625,646232,340396,322584,314035,517931,371845,377234,1464821,1752838,1197211,1581046,1675324
FEB,G,CMC FTP,EUR,93083,78110,137745,140207,156264,111923,126887,132409,170596,95640,78138,100046,408319,68825,345906,255189,149948,171236,113310,213522,129333,184600,577190,922281,476784,640766,844222
FEB,H,CMC FTP PY,EUR,106734,87813,137497,121568,161597,109101,120642,168759,165811,121369,101523,223296,418416,86386,187288,254968,147981,167329,115231,233837,137580,153609,728100,757567,557464,640259,844955
MAR,A,Units FTP,PC,4830,3387,5056,5836,7358,5259,5223,4484,5621,3218,2933,6004,10425,3399,11082,12967,8437,4840,7187,8528,8143,9393,19828,37326,16256,33251,36949
MAR,B,Invoice Sales FTP,EUR,301846,245141,365821,380670,537814,353765,374503,240810,313095,169782,142199,374927,630657,170115,691606,571606,379527,301921,337929,443199,332489,429954,1175700,1944662,865888,1543573,2559564
MAR,C,Units FTP PY,PC,4154,2409,4468,4943,5289,5065,4383,3887,6528,5696,3144,6579,11611,3701,7915,10613,10054,5510,9713,9604,13048,8717,21891,34092,19255,41082,30711
MAR,D,Gross Sales Actual FTP,EUR,460496,345836,548203,554439,818328,533391,559425,405579,533755,286504,226789,664863,1063279,276753,1188309,898101,635469,527029,528218,729984,531891,663564,2004896,3248910,1452629,2453658,3820123
MAR,E,Net Sales FTP,EUR,259370,204737,313119,325544,461957,298020,320531,217632,283914,159020,131288,349894,577648,151892,636098,508824,347659,283179,298134,408946,306267,401345,1079436,1775761,791855,1414693,2183282
MAR,F,Net Sales FTP PY,EUR,210083,142703,260492,268166,329716,253247,239610,205648,318415,253510,157279,409249,577438,173410,343648,499127,446055,310307,354037,446973,521798,358601,1160098,1599139,934853,1681411,1704019
MAR,G,CMC FTP,EUR,125258,104904,168091,160792,248873,151381,170644,97571,133080,72141,54186,172636,282846,61074,318948,195423,142167,149495,105119,177585,100836,156016,516557,806034,356980,539556,1129947
MAR,H,CMC FTP PY,EUR,99831,74824,135788,130569,174793,120428,114941,98584,145473,105010,72749,216262,260279,74528,143388,210054,192738,160120,113519,195363,203294,138151,551069,706301,421818,650328,851177
APR,A,Units FTP,PC,5531,3222,5129,5867,5752,5766,4920,4930,5266,5664,3432,5626,12594,3852,12143,10605,8437,4257,7141,8881,9785,8134,22072,35442,19292,33941,36187
APR,B,Invoice Sales FTP,EUR,319242,224592,369946,382050,403316,379451,340384,293929,304342,273842,164112,424056,870945,200708,715274,537368,397180,266136,322572,460854,420170,384535,1495710,1915959,1036226,1588132,2418982
APR,C,Units FTP PY,PC,4826,2474,4766,4961,5805,4995,4764,7708,5674,6056,3153,6404,14554,4148,7986,18588,10346,7047,8798,10773,9719,7792,25106,43967,22591,37082,32591
APR,D,Gross Sales Actual FTP,EUR,463640,323016,556015,558158,589816,568108,498497,502289,523480,469460,265170,770037,1529293,330189,1229599,870044,666772,462729,516393,764752,683307,600176,2629521,3229145,1760400,2564630,3557254
APR,E,Net Sales FTP,EUR,274075,188082,315175,326433,341650,320122,289967,261247,276884,256256,149990,394812,802026,178579,657594,484261,365613,248371,284008,422508,389943,356261,1375418,1755840,944378,1452722,2055506
APR,F,Net Sales FTP PY,EUR,228565,137266,280028,275483,348071,247066,269325,361025,276401,281806,142190,375483,832803,186849,327891,753040,468323,388899,351165,524727,426998,339282,1395136,1938154,1061423,1642173,1785807
APR,G,CMC FTP,EUR,125014,94470,168908,160961,178573,162801,148273,123724,133984,102406,60038,207773,427009,73507,321577,212128,156178,130799,95038,182455,138464,141082,708289,820684,420153,557040,1039004
APR,H,CMC FTP PY,EUR,102206,68196,146731,135865,179976,115978,136717,156755,121102,118382,60796,185014,425895,76782,130661,286050,208516,199539,130717,241603,176176,138230,687692,824766,457036,686727,885672
MAY,A,Units FTP,PC,2713,1538,2432,2389,3398,2877,2302,4230,2723,2744,2272,2893,8541,2363,7926,7127,3809,2993,4281,5291,5741,5076,13797,21855,11969,20389,17649
MAY,B,Invoice Sales FTP,EUR,170599,109821,179752,164052,230607,185186,156001,222537,156596,134126,123670,189445,444928,121847,512236,325756,180302,191814,197538,263433,239011,231878,756220,1210110,636931,931862,1196022
MAY,C,Units FTP PY,PC,2090,1178,2381,2611,2860,2253,2156,2641,2934,3013,2458,2493,7786,2606,9384,6778,5361,2832,4705,5543,6530,6220,12885,24355,11046,22998,15529
MAY,D,Gross Sales Actual FTP,EUR,251911,159166,266620,245553,347086,272520,233314,386006,275942,216920,192203,331360,754589,198564,896525,523766,311881,336767,314595,431266,391216,348611,1284513,2068940,1071073,1485690,1776173
MAY,E,Net Sales FTP,EUR,147083,92716,154523,141588,195294,158279,133781,205523,142514,125697,114903,175609,414694,108108,474419,293881,166378,178309,172461,243224,223726,218347,698412,1112988,588639,857759,1023267
MAY,F,Net Sales FTP PY,EUR,100559,65967,137601,133522,171680,121508,115135,132475,157512,127817,105397,104525,435885,113802,441623,315464,215096,157702,186163,245959,228983,249635,654213,1129885,523202,910742,845975
MAY,G,CMC FTP,EUR,73535,48656,83651,73588,99848,78559,69368,92500,68270,53852,53200,92725,184293,45342,264172,117442,72779,94711,64600,102855,77209,89359,322362,549106,267823,334024,527207
MAY,H,CMC FTP PY,EUR,45970,33282,71065,63337,90638,60578,56680,62140,77234,46225,43866,38452,219553,46705,209699,133999,87960,81021,68875,106076,74614,88442,304712,512681,229466,338008,421553
JUN,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUG,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEP,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCT,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,A,Units FTP,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,B,Invoice Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,C,Units FTP PY,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,D,Gross Sales Actual FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,E,Net Sales FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,F,Net Sales FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,G,CMC FTP,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIC,H,CMC FTP PY,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
